product_name,current_price,price,percent_discount,rating,series,link,genre_name,brand_name
Sạc Apple 20W MHJE3,520000.0,690000.0,24,436,,https://www.thegioididong.com/adapter-sac/adapter-sac-type-c-20w-cho-iphone-ipad-apple-mhje3,Adapter Charger,Apple
Bộ chuyển đổi chân sạc Adapter Kit Apple MD837,980000.0,1090000.0,10,0,,https://www.thegioididong.com/adapter-sac/chan-sac-world-travel-adapter-kit-apple-md837,Adapter Charger,Apple
Sạc Apple MGN13,270000.0,450000.0,40,55,,https://www.thegioididong.com/adapter-sac/adapter-sac-5w-cho-iphone-ipad-ipod-apple-mgn13,Adapter Charger,Apple
Bộ Adapter sạc kèm cáp Type C - Type C Samsung EP-T4510X,1070000.0,1190000.0,10,70,,https://www.thegioididong.com/adapter-sac/bo-adapter-sac-kem-cap-type-c-type-c-pd-45w-samsung-ep-t4510x,Adapter Charger,Samsung
Sạc Samsung EP-TA800N,390000.0,490000.0,20,329,,https://www.thegioididong.com/adapter-sac/type-c-pd-25w-samsung-ep-ta800n,Adapter Charger,Samsung
Sạc 3 cổng Samsung EP-T6530,1340000.0,1490000.0,10,18,,https://www.thegioididong.com/adapter-sac/adapter-sac-3-cong-usb-type-c-pd-65w-samsung-ep-t6530n,Adapter Charger,Samsung
Sạc kèm cáp Micro Samsung TA20HW,200000.0,290000.0,30,142,,https://www.thegioididong.com/adapter-sac/bo-adapter-sac-kem-cap-micro-samsung-ta20hw,Adapter Charger,Samsung
Bộ Adapter sạc kèm cáp Type C - Type C Samsung EP-T1510X,320000.0,400000.0,20,83,,https://www.thegioididong.com/adapter-sac/bo-adapter-sac-kem-cap-type-c-samsung-ep-t1510x,Adapter Charger,Samsung
Sạc Samsung EP-T1510N,255000.0,320000.0,20,36,,https://www.thegioididong.com/adapter-sac/adapter-sac-type-c-samsung-ep-t1510n-trang,Adapter Charger,Samsung
Sạc kèm cáp Type C Samsung TA20EW,255000.0,320000.0,20,138,,https://www.thegioididong.com/adapter-sac/bo-adapter-sac-kem-cap-type-c-samsung-ta20ew,Adapter Charger,Samsung
Sạc Anker PowerPort III Nano A2633,290000.0,400000.0,27,128,,https://www.thegioididong.com/adapter-sac/adapter-type-c-pd-20w-anker-powerport-nano-a2633,Adapter Charger,Anker
Sạc Anker Nano 3 A2147,425000.0,500000.0,15,24,,https://www.thegioididong.com/adapter-sac/adapter-sac-type-c-pd-gan-30w-anker-nano-3-a2147-trang,Adapter Charger,Anker
Adapter Sạc 2 cổng Type C PD PPS GaN II 65W Anker PowerPort III A2666,1040000.0,1300000.0,20,0,,https://www.thegioididong.com/adapter-sac/adapter-sac-2-cong-type-c-pd-pps-gan-ii-65w-anker-powerport-iii-a2666,Adapter Charger,Anker
Sạc 2 cổng Anker Nano Pro A2038,615000.0,950000.0,35,12,,https://www.thegioididong.com/adapter-sac/adapter-sac-2-cong-type-c-pd-40w-anker-nano-pro-a2038,Adapter Charger,Anker
Sạc 2 cổng Anker PowerPort Elite 2 - A2023,405000.0,450000.0,10,18,,https://www.thegioididong.com/adapter-sac/adapter-sac-2-cong-24a-anker-a2023-trang,Adapter Charger,Anker
Sạc 2 cổng Anker PowerPort Mini - A2620,185000.0,270000.0,30,58,,https://www.thegioididong.com/adapter-sac/adapter-sac-2a-dual-anker-a2620-trang,Adapter Charger,Anker
Sạc Xmobile A829,240000.0,300000.0,20,64,,https://www.thegioididong.com/adapter-sac/adapter-sac-type-c-pd-20w-xmobile-a829-trang,Adapter Charger,Xmobile
Sạc Xmobile TCE20W,240000.0,300000.0,20,46,,https://www.thegioididong.com/adapter-sac/adapter-sac-type-c-pd-20w-xmobile-tce20w-trang,Adapter Charger,Xmobile
Sạc Xmobile TC20P,240000.0,300000.0,20,72,,https://www.thegioididong.com/adapter-sac/adapter-sac-type-c-pd-20w-xmobile-tc20p-hong,Adapter Charger,Xmobile
Sạc Xmobile DS230,320000.0,400000.0,20,34,,https://www.thegioididong.com/adapter-sac/adapter-sac-type-c-pd-gan-30w-xmobile-ds230-trang,Adapter Charger,Xmobile
Sạc Xmobile CS-TC041,240000.0,300000.0,20,84,,https://www.thegioididong.com/adapter-sac/adapter-sac-type-c-pd-20w-xmobile-cs-tc041-trang,Adapter Charger,Xmobile
Sạc 2 cổng Xmobile DS702,135000.0,250000.0,45,47,,https://www.thegioididong.com/adapter-sac/adapter-sac-24a-dual-xmobile-ds702-trang,Adapter Charger,Xmobile
Sạc xe hơi 3 cổng Xmobile SN-156,315000.0,450000.0,30,54,,https://www.thegioididong.com/adapter-sac/sac-xe-hoi-3-cong-20w-xmobile-sn-156-den-xam,Adapter Charger,Xmobile
Sạc xe hơi 2 cổng Xmobile SN-455,315000.0,450000.0,30,28,,https://www.thegioididong.com/adapter-sac/sac-xe-hoi-2-cong-usb-type-c-pd-qc-30-20w-xmobile-sn-455-bac-den,Adapter Charger,Xmobile
Sạc 2 cổng Xmobile MFR65,700000.0,700000.0,0,41,,https://www.thegioididong.com/adapter-sac/adapter-2-cong-pd-qc-30-gan-65w-xmobile-mfr65,Adapter Charger,Xmobile
Sạc Xmobile DS602A,300000.0,300000.0,0,0,,https://www.thegioididong.com/adapter-sac/adapter-sac-type-c-pd-20w-xmobile-ds602a,Adapter Charger,Xmobile
