product_name,current_price,price,percent_discount,rating,series,link,genre_name,brand_name
Loa Bluetooth JBL Pulse 5,6350000.0,6690000.0,5,12,,https://www.thegioididong.com/loa-laptop/loa-bluetooth-jbl-pulse-5,Laptop Speaker,Jbl
Loa Bluetooth JBL Partybox On The Go,6590000.0,6990000.0,5,15,,https://www.thegioididong.com/loa-laptop/jbl-partybox-on-the-go,Laptop Speaker,Jbl
Loa Bluetooth JBL Xtreme 3,6590000.0,6590000.0,0,0,,https://www.thegioididong.com/loa-laptop/loa-bluetooth-jbl-xtreme-3,Laptop Speaker,Jbl
Loa Bluetooth JBL Charge 5,3790000.0,3990000.0,5,15,,https://www.thegioididong.com/loa-laptop/loa-bluetooth-jbl-charge-5,Laptop Speaker,Jbl
Loa Bluetooth JBL Boombox 3,11390000.0,11990000.0,5,9,,https://www.thegioididong.com/loa-laptop/loa-bluetooth-jbl-boombox-3,Laptop Speaker,Jbl
Loa Bluetooth JBL Go Essential,750000.0,790000.0,5,16,,https://www.thegioididong.com/loa-laptop/loa-bluetooth-jbl-go-essential,Laptop Speaker,Jbl
Loa Bluetooth JBL Partybox 310,14150000.0,14900000.0,5,0,,https://www.thegioididong.com/loa-laptop/loa-bluetooth-jbl-partybox-310,Laptop Speaker,Jbl
Loa Bluetooth JBL Partybox 110,11900000.0,12900000.0,7,3,,https://www.thegioididong.com/loa-laptop/loa-bluetooth-jbl-partybox-110-imei,Laptop Speaker,Jbl
Loa Bluetooth JBL Go 3,990000.0,1090000.0,9,66,,https://www.thegioididong.com/loa-laptop/bluetooth-jbl-go-3-xanh-den,Laptop Speaker,Jbl
Loa Bluetooth JBL Flip 6,2840000.0,2990000.0,5,32,,https://www.thegioididong.com/loa-laptop/bluetooth-jbl-flip-6,Laptop Speaker,Jbl
Loa siêu trầm JBL PASION 12SP,11600000.0,14500000.0,20,3,,https://www.thegioididong.com/loa-laptop/loa-sieu-tram-jbl-pasion-12sp-300w,Laptop Speaker,Jbl
Amply JBL BEYOND3,17520000.0,21900000.0,20,0,,https://www.thegioididong.com/loa-laptop/amply-jbl-beyond3-720w,Laptop Speaker,Jbl
Amply JBL BEYOND1,13520000.0,16900000.0,20,0,,https://www.thegioididong.com/loa-laptop/thiet-bi-khuech-dai-am-tan-jbl-beyond1,Laptop Speaker,Jbl
Loa điện JBL IRX112BT,10520000.0,13400000.0,21,0,,https://www.thegioididong.com/loa-laptop/loa-keo-jbl-irx112bt,Laptop Speaker,Jbl
Loa điện JBL IRX108BT,9360000.0,11700000.0,20,0,,https://www.thegioididong.com/loa-laptop/loa-keo-jbl-irx108bt,Laptop Speaker,Jbl
Loa Bluetooth JBL Charge 5,3790000.0,3990000.0,5,24,,https://www.thegioididong.com/loa-laptop/bluetooth-jbl-charge-5,Laptop Speaker,Jbl
Cặp loa karaoke JBL KI512,20400000.0,21100000.0,0,0,,https://www.thegioididong.com/loa-laptop/cap-loa-karaoke-jbl-ki512-800w,Laptop Speaker,Jbl
Cặp loa karaoke JBL KI510,18700000.0,19400000.0,0,3,,https://www.thegioididong.com/loa-laptop/cap-loa-karaoke-jbl-ki510-700w,Laptop Speaker,Jbl
Cặp loa karaoke JBL MK 12,15100000.0,15800000.0,0,0,,https://www.thegioididong.com/loa-laptop/cap-loa-karaoke-jbl-mk-12-500w,Laptop Speaker,Jbl
Cặp loa karaoke JBL MK 10,12900000.0,13600000.0,5,0,,https://www.thegioididong.com/loa-laptop/bo-loa-jbl-mk-10,Laptop Speaker,Jbl
Cặp loa karaoke JBL MK 08,9600000.0,10300000.0,6,0,,https://www.thegioididong.com/loa-laptop/cap-loa-karaoke-jbl-mk-08-300w,Laptop Speaker,Jbl
Cặp loa karaoke JBL Pasion 12,17100000.0,17800000.0,0,0,,https://www.thegioididong.com/loa-laptop/cap-loa-karaoke-jbl-pasion-12-500w,Laptop Speaker,Jbl
