product_name,current_price,price,percent_discount,rating,link,brand_id,series,genre_name
Apple Watch Ultra LTE 49mm viền Titanium dây Alpine size M,19.990.000₫,23.990.000₫,-16%,11,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-ultra-alpine-m,01,Apple Watch Ultra,SmartWatch
Apple Watch Ultra LT 49mm dây cao su,19.490.000₫,23.990.000₫,-18%,12,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-ultra-cao-su,01,Apple Watch Ultra,SmartWatch
Apple Watch S8 GPS 41mm viền nhôm dây silicone,9.290.000₫,11.990.000₫,-22%,34,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8-41mm,01,Apple Watch S8,SmartWatch
Apple Watch S8 GPS 45mm viền nhôm dây silicone,10.490.000₫,12.990.000₫,-19%,60,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8,01,Apple Watch S8,SmartWatch
Apple Watch S8 LTE 45mm viền nhôm dây silicone,12.490.000₫,15.990.000₫,-21%,9,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8-lte-45mm,01,Apple Watch S8,SmartWatch
Apple Watch S8 LTE 41mm viền nhôm dây silicone,12.290.000₫,14.990.000₫,-18%,6,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8-lte-41mm,01,Apple Watch S8,SmartWatch
Apple Watch S8 LTE 45mm viền thép dây silicone,17.990.000₫,21.990.000₫,-18%,5,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8-lte-45mm-vien-thep,01,Apple Watch S8,SmartWatch
Apple Watch S8 LTE 45mm viền thép dây thép,18.990.000₫,22.990.000₫,-17%,5,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8-lte-45mm-day-thep,01,Apple Watch S8,SmartWatch
Apple Watch S8 LTE 41mm viền thép dây thép,17.990.000₫,21.990.000₫,-18%,5,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8-lte-41mm-day-thep,01,Apple Watch S8,SmartWatch
Apple Watch S8 LTE 41mm viền thép dây silicone,16.990.000₫,20.990.000₫,-19%,5,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8-lte-41mm-vien-thep,01,Apple Watch S8,SmartWatch
Apple Watch SE 2022 40mm viền nhôm dây silicone,6.190.000₫,7.490.000₫,-17%,144,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2022,01,Apple Watch SE 2022,SmartWatch
Apple Watch SE 2022 44mm viền nhôm dây silicone,6.990.000₫,8.490.000₫,-17%,96,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2022-44mm-vien-nhom,01,Apple Watch SE 2022,SmartWatch
Apple Watch SE 2022 LTE 44mm viền nhôm dây silicone,8.290.000₫,9.990.000₫,-17%,7,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2022-lte-44mm,01,Apple Watch SE 2022,SmartWatch
Apple Watch SE 2022 LTE 40mm viền nhôm dây silicone,7.490.000₫,8.990.000₫,-16%,8,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2022-lte-40mm,01,Apple Watch SE 2022,SmartWatch
