product_name,current_price,price,percent_discount,rating,link,brand_id,series,devices
Cáp Lightning MFI 0.9m Anker Powerline II A8432,245.000₫,330.000₫,-25%,10,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-mfi-09m-anker-powerline-ii-a8432,02,,Cables
Cáp Micro USB 0.9m Anker PowerLine+ A8142,200.000₫,,,13,https://www.thegioididong.com/cap-dien-thoai/cap-micro-usb-09m-anker-a8142,02,,Cables
Cáp Type C - Type C 0.9m Anker PowerLine+ A8187,280.000₫,350.000₫,-20%,10,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-09m-anker-a8187-xam,02,,Cables
Cáp Type C - Lightning 1m Xmobile QC-TC06-1000,220.000₫,,,,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-lightning-1m-xmobile-qc-tc06-1000,03,,Cables
Cáp Type C - Type C 1m Xmobile DS101,220.000₫,,,47,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-1m-xmobile-ds101,03,,Cables
Cáp Type C - Type C 2m Xmobile DR-T08,220.000₫,,,40,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-2m-xmobile-dr-t08,03,,Cables
Cáp Type C 1m Xmobile CN035,170.000₫,190.000₫,-10%,62,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-1m-xmobile-cn035-xanh,03,,Cables
Cáp Type C - Type C 1m Xmobile DS102,250.000₫,,,,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-1m-xmobile-ds102,03,,Cables
Cáp Type C - Lightning 0.2m Xmobile CN036,120.000₫,,,34,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-lightning-20cm-xmobile-cn036,03,,Cables
Cáp Type C - Lightning 2m Xmobile L2145,220.000₫,,,32,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-lightning-2m-xmobile-l2145,03,,Cables
Cáp Type C - Lightning 1m Xmobile L2145,220.000₫,,,54,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-lightning-1m-xmobile-l2145,03,,Cables
Cáp Type C 2m Xmobile DR-T07,190.000₫,,,39,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-2m-xmobile-dr-t07,03,,Cables
Cáp Type C - Type C 1m Xmobile DR-T06,220.000₫,,,88,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-1m-xmobile-dr-t06,03,,Cables
Cáp Type C 1m Xmobile CN033,170.000₫,190.000₫,-10%,61,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-1m-xmobile-cn033,03,,Cables
Cáp Type C - Type C 2m Xmobile TCS2000,300.000₫,,,19,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-2m-xmobile-tcs2000,03,,Cables
Cáp Type C - Lightning 1m Xmobile LPDC-21,220.000₫,,,95,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-lightning-xmobile-lpdc-21,03,,Cables
Cáp Micro USB 2m Xmobile DR-M03,80.000₫,100.000₫,-20%,124,https://www.thegioididong.com/cap-dien-thoai/cap-micro-2m-xmobile-dr-m03,03,,Cables
Cáp Micro USB 1m Xmobile DR-M02,100.000₫,,,155,https://www.thegioididong.com/cap-dien-thoai/cap-micro-1m-xmobile-dr-m02,03,,Cables
Cáp Type C 1m Xmobile DS09CP-WB,130.000₫,190.000₫,-30%,49,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-1m-xmobile-ds09cp-wb,03,,Cables
Cáp Type C 0.2m Xmobile TC200B,80.000₫,100.000₫,-20%,63,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-20cm-xmobile-tc200b,03,,Cables
Cáp Lightning 0.2m Xmobile DR-L06,100.000₫,,,37,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-20cm-xmobile-dr-l06-den,03,,Cables
Cáp Lightning 0.2m Xmobile LJET-L11,100.000₫,,,67,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-xmobile-ljet-l11,03,,Cables
Cáp Micro USB 1m Xmobile LTM-02,100.000₫,,,301,https://www.thegioididong.com/cap-dien-thoai/cap-micro-1m-xmobile-ltm-02-xanh-reu,03,,Cables
Cáp 3 đầu Lightning Type C Micro 1m Xmobile DR002,220.000₫,,,90,https://www.thegioididong.com/cap-dien-thoai/cap-3-dau-lightning-type-c-micro-1m-xmobile-dr002,03,,Cables
Cáp Type C 2m Xmobile FD-L01,150.000₫,190.000₫,-20%,133,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-2m-xmobile-fd-l01-den,03,,Cables
Cáp Lightning 1m Xmobile AL31-1000,190.000₫,,,111,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-1m-xmobile-al31-1000,03,,Cables
Cáp Type C 1m Xmobile TC27-1000,190.000₫,,,102,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-1m-xmobile-tc27-1000-trang,03,,Cables
Cáp Lightning 1m Xmobile DR-L001X,130.000₫,190.000₫,-30%,122,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-1m-xmobile-dr-l001x-do-den,03,,Cables
Cáp Type C - Type C 0.2m Xmobile TCC04-200,120.000₫,,,86,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-20cm-xmobile-tcc04-200,03,,Cables
Cáp chuyển đổi 2 cổng lightning - 3.5mm Âm Xmobile TS-E123,150.000₫,300.000₫,-50%,73,https://www.thegioididong.com/cap-dien-thoai/cap-chuyen-doi-2-cong-lightning-sang-35mm-xmobile,03,,Cables
Cáp Lightning 1m Xmobile LTL-01X,190.000₫,,,289,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-1m-xmobile-ltl-01x-xanh-reu,03,,Cables
Cáp Micro USB 1m Xmobile Paladin,100.000₫,,,3,https://www.thegioididong.com/cap-dien-thoai/cap-micro-1-m-xmobile-paladin-xam,03,,Cables
Cáp Type C - Lightning 2m Xmobile CL-PD01-2000,220.000₫,,,75,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-lightning-2m-xmobile-cl-pd01-2000-den,03,,Cables
Cáp Type C - Lightning 1m Xmobile CL-PD01-1000,220.000₫,,,39,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-lightning-1m-xmobile-cl-pd01-1000-den,03,,Cables
Cáp Type C - Lightning 1m Xmobile LPDC-05,220.000₫,,,81,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-lightning-1m-xmobile-lpdc-05-trang,03,,Cables
Cáp Type C - Lightning 0.2m Xmobile L10,120.000₫,,,56,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-lightning-20cm-xmobile-l10-trang,03,,Cables
Cáp Type C 1m Xmobile MU09-1000X,150.000₫,,,5,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-1m-xmobile-mu09-1000x-trang,03,,Cables
Cáp Micro USB 1m Xmobile Paladin,100.000₫,,,20,https://www.thegioididong.com/cap-dien-thoai/cap-micro-1m-xmobile-paladin-bac,03,,Cables
Cáp Micro USB 2m Xmobile LTMP-2006,80.000₫,100.000₫,-20%,77,https://www.thegioididong.com/cap-dien-thoai/cap-micro-2m-xmobile-ltmp-2006-xanh-navy,03,,Cables
Cáp Type-C Xmobile MU09-1000,100.000₫,,,92,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-1m-x-mobile-mu09-1000,03,,Cables
Cáp âm thanh 3.5mm 1.2m Xmobile DS036TB,60.000₫,100.000₫,-40%,47,https://www.thegioididong.com/cap-dien-thoai/cap-35mm-tren-xe-hoi-1m-xmobile-ds036tb-den-vang,03,,Cables
Cáp Lightning 2m AVA+ LJET-L21,120.000₫,190.000₫,-35%,53,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-2m-ava-ljet-l21,04,,Cables
Cáp Micro USB 0.2m AVA+ LJET-M01,35.000₫,70.000₫,-50%,47,https://www.thegioididong.com/cap-dien-thoai/cap-micro-ava-ljet-m01,04,,Cables
Cáp Type C 0.2m AVA+ DR-T03,90.000₫,100.000₫,-10%,12,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-0-2m-ava-dr-t03-xam,04,,Cables
Cáp Lightning 0.2m AVA+ CN034,90.000₫,100.000₫,-10%,56,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-20cm-ava-cn034,04,,Cables
Cáp Type C 0.2m AVA+ DR-T03,80.000₫,100.000₫,-20%,51,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-20cm-ava-dr-t03,04,,Cables
Cáp Mirco USB 0.2m AVA+ HKU601,35.000₫,70.000₫,-50%,35,https://www.thegioididong.com/cap-dien-thoai/cap-mirco-20cm-ava-hku601,04,,Cables
Cáp Type C 2m AVA+ DS08C,150.000₫,190.000₫,-20%,57,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-2m-ava-ds08c,04,,Cables
Cáp Lightning 2m AVA+ Kalf,130.000₫,190.000₫,-30%,72,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-2m-ava-kalf-trang,04,,Cables
Cáp Lightning 0.2m AVA+ DR-L05,90.000₫,100.000₫,-10%,64,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-20cm-ava-dr-l05,04,,Cables
Cáp Type C 0.2m AVA+ DS06CB-TB,90.000₫,100.000₫,-10%,56,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-20cm-ava-ds06cb-tb,04,,Cables
Cáp Lightning 1m AVA+ Kalf,170.000₫,190.000₫,-10%,109,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-1m-ava-kalf,04,,Cables
Cáp Lightning 0.2m AVA+ Kalf,90.000₫,100.000₫,-10%,45,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-20cm-ava-kalf,04,,Cables
Cáp Type C 1m AVA+ TC1000N,190.000₫,,,111,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-ava-tc1000n,04,,Cables
Cáp Micro USB 0.2m AVA+ MU200,35.000₫,70.000₫,-50%,57,https://www.thegioididong.com/cap-dien-thoai/cap-micro-ava-mu200,04,,Cables
Cáp Lightning 1m AVA+ DR-L04,170.000₫,190.000₫,-10%,151,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-ava-dr-l04,04,,Cables
Cáp Type C 1m AVA+ DR-T02,190.000₫,,,73,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-1m-ava-dr-t02,04,,Cables
Cáp Type C 1m AVA+ DS07,190.000₫,,,95,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-ava-ds07,04,,Cables
Cáp Micro USB 0.2m AVA Speed II,10.000₫,35.000₫,-71%,60,https://www.thegioididong.com/cap-dien-thoai/cap-micro-20cm-ava-speed-ii,05,,Cables
Cáp Micro USB 1m AVA Speed II X,70.000₫,,,9,https://www.thegioididong.com/cap-dien-thoai/cap-micro-usb-1m-ava-speed-ii-x-trang,05,,Cables
Cáp Micro USB 1m AVA DR-M01,70.000₫,,,23,https://www.thegioididong.com/cap-dien-thoai/cap-micro-1m-ava-dr-m01-trang,05,,Cables
Cáp Micro USB 1m AVA LTPL-05X,20.000₫,70.000₫,-71%,55,https://www.thegioididong.com/cap-dien-thoai/cap-micro-1m-ava-ltpl-05x,05,,Cables
Cáp Micro USB 2m AVA DS454,20.000₫,70.000₫,-71%,23,https://www.thegioididong.com/cap-dien-thoai/cap-micro-2m-ava-ds454-den,05,,Cables
Cáp Type C 0.2m AVA DS458,30.000₫,50.000₫,-40%,53,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-20cm-ava-ds458-trang,05,,Cables
Cáp Type C 0.2m AVA DS628,30.000₫,50.000₫,-40%,50,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-20cm-ava-ds628-den,05,,Cables
Cáp Lightning 0.2m AVA Speed II,20.000₫,50.000₫,-60%,64,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-20cm-ava-speed-ii-trang,05,,Cables
Cáp Lightning 0.2m AVA LTPL-01,50.000₫,,,24,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-20cm-ava-ltpl-01-den,05,,Cables
Cáp Type C AVA DS447-WB,Ngừng kinh doanh,,,9,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-1m-ava-ds447-wb-den,05,,Cables
Cáp Type C 2m Belkin CAB002,270.000₫,450.000₫,-40%,8,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-2m-belkin-cab002,06,,Cables
Cáp Type C 1m Belkin CAB002,265.000₫,385.000₫,-30%,,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-1m-belkin-cab002-den,06,,Cables
Cáp Type C - Lightning MFI 2m Belkin CAA004,650.000₫,,,,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-lightning-mfi-2m-belkin-caa004-den,06,,Cables
Cáp Lightning MFI 2m Belkin CAA002,460.000₫,580.000₫,-20%,3,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-mfi-2m-belkin-caa002-den,06,,Cables
Cáp Type C 2m Belkin CAB002,315.000₫,450.000₫,-30%,,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-0-9m-anker-powerline-iii-flow-a8552-tim,06,,Cables
Cáp Type C - Type C 1m Playa PM2004,255.000₫,320.000₫,-20%,7,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-1m-playa-pm2004,06,,Cables
Cáp Type C - Type C 2m Belkin CAB003,270.000₫,390.000₫,-30%,10,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-2m-belkin-cab003,06,,Cables
Cáp Type C - Type C 1m Belkin CAB003,290.000₫,325.000₫,-10%,8,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-1m-belkin-cab003,06,,Cables
