product_name,current_price,price,percent_discount,rating,link,brand_id,series,devices
Tai nghe Bluetooth AirPods 2 Lightning Charge Apple MV7N2,2.690.000₫,4.390.000₫,-38%,332,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-airpods-2-apple-mv7n2-trang,1,,Headphone
Tai nghe Bluetooth AirPods Pro MagSafe Charge Apple MLWK3,6.790.000₫,,,203,https://www.thegioididong.com/tai-nghe/bluetooth-airpods-pro-magsafe-charge-apple-mlwk3,1,,Headphone
Tai nghe Có Dây Apple MMTN2,690.000₫,790.000₫,-12%,227,https://www.thegioididong.com/tai-nghe/tai-nghe-earpods-cong-lightning-apple-mmtn2,1,,Headphone
Tai nghe Bluetooth AirPods 3 Lightning Charge Apple MPNY3,4.290.000₫,5.390.000₫,-20%,71,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-airpods-3-lightning-charge-apple-mpny3-trang,1,,Headphone
Tai nghe Bluetooth AirPods Pro (2nd Gen) MagSafe Charge Apple MQD83,5.990.000₫,6.990.000₫,-14%,95,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-airpods-pro-2-magsafe-charge-apple-mqd83-trang,1,,Headphone
Tai nghe Bluetooth AirPods 3 Wireless Charge Apple MME73,4.690.000₫,5.490.000₫,-14%,156,https://www.thegioididong.com/tai-nghe/airpods-3-hop-sac-khong-day,1,,Headphone
Tai nghe Bluetooth Chụp Tai AirPods Max Apple,12.490.000₫,13.990.000₫,-10%,5,https://www.thegioididong.com/tai-nghe/bluetooth-airpods-max-apple,1,,Headphone
Tai nghe Bluetooth True Wireless Samsung Galaxy Buds 2 Pro R510N,3.890.000₫,4.990.000₫,-22%,79,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-galaxy-buds2-pro,2,,Headphone
Tai nghe Bluetooth True Wireless Samsung Galaxy Buds 2 R177N Trắng,2.990.000₫,,,42,https://www.thegioididong.com/tai-nghe/samsung-galaxy-buds-2-r177n-trang,2,,Headphone
Tai nghe Bluetooth True Wireless Samsung Galaxy Buds 2 Pro R510N,3.890.000₫,4.990.000₫,-22%,48,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-samsung-galaxy-buds2-pro-trang,2,,Headphone
Tai nghe Có Dây Samsung IA500,300.000₫,,,113,https://www.thegioididong.com/tai-nghe/nhet-tai-samsung-ia500-den,2,,Headphone
Tai nghe Bluetooth Chụp Tai Sony WH-CH510,1.190.000₫,,,54,https://www.thegioididong.com/tai-nghe/tai-nghe-chup-tai-bluetooth-sony-wh-ch510-den,3,,Headphone
Tai nghe Bluetooth True Wireless Sony WF-C700N,2.490.000₫,,,9,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-sony-wf-c700n,3,,Headphone
Tai nghe Bluetooth True Wireless Sony WF-C500,1.990.000₫,2.290.000₫,-13%,31,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-sony-wf-c500-den,3,,Headphone
Tai nghe Bluetooth Sony WI-1000XM2,3.495.000₫,6.990.000₫,-50%,5,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-bluetooth-sony-wi-1000xm2,3,,Headphone
Tai nghe Có Dây Sony MDR-EX15AP,200.000₫,,,117,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-sony-mdr-ex15aplize,3,,Headphone
Tai nghe Bluetooth Sony WI-SP500,1.490.000₫,,,18,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-sony-wi-sp500,3,,Headphone
Tai nghe Có Dây Sony Extra Bass MDR-XB55AP,790.000₫,,,81,https://www.thegioididong.com/tai-nghe/tai-nghe-nhet-tai-ep-sony-extra-bass-mdr-xb55ap,3,,Headphone
Tai nghe Có Dây Sony MDR-EX155AP,390.000₫,,,25,https://www.thegioididong.com/tai-nghe/tai-nghe-nhet-tai-ep-sony-mdr-ex155ap,3,,Headphone
Tai nghe Có Dây Sony MDR-E9LP,160.000₫,,,127,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-sony-mdr-e9lp-bc-e,3,,Headphone
Tai nghe Chụp Tai Sony MDR - ZX110AP,540.000₫,,,43,https://www.thegioididong.com/tai-nghe/tai-nghe-sony-mdr-zx110ap,3,,Headphone
Tai nghe Có Dây JBL C200 SIU,290.000₫,,,10,https://www.thegioididong.com/tai-nghe/tai-nghe-co-day-jbl-c200-siu,4,,Headphone
Tai nghe Có Dây Gaming JBL Quantum 50,530.000₫,890.000₫,-40%,64,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-gaming-jbl-quantum-50,4,,Headphone
Tai nghe Bluetooth True Wireless JBL T115TWS,980.000₫,1.490.000₫,-34%,117,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-jbl-t115tws,4,,Headphone
Tai nghe Bluetooth True Wireless JBL LIVE 300,3.990.000₫,,,11,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-jbl-live-300,4,,Headphone
Tai nghe Bluetooth True Wireless JBL Tune 120,995.000₫,1.990.000₫,-50%,49,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-jbl-t120,4,,Headphone
Tai nghe Bluetooth JBL T110BT,485.000₫,890.000₫,-45%,45,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-jbl-t110btblu-xanh-duong,4,,Headphone
Tai nghe Bluetooth True Wireless OPPO ENCO Buds 2 ETE41,790.000₫,990.000₫,-20%,147,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-tws-oppo-enco-buds-2-ete41-trang,5,,Headphone
Tai nghe Bluetooth True Wireless OPPO ENCO Air 3 ETE31,1.590.000₫,,,39,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-tws-oppo-enco-air-3-ete31,5,,Headphone
Tai nghe Bluetooth True Wireless OPPO ENCO Air 2 Pro ETE21,1.690.000₫,1.790.000₫,-5%,88,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-oppo-enco-air-2-pro-ete21,5,,Headphone
Tai nghe Bluetooth True Wireless OPPO ENCO Air 2 ETE11,1.290.000₫,,,100,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-oppo-enco-air-2-ete11,5,,Headphone
Tai nghe Bluetooth True Wireless OPPO ENCO Buds ETI81,790.000₫,,,252,https://www.thegioididong.com/tai-nghe/bluetooth-tws-oppo-enco-buds-eti81,5,,Headphone
Tai nghe Có Dây OPPO MH151,590.000₫,,,36,https://www.thegioididong.com/tai-nghe/co-day-ep-oppo-mh151,5,,Headphone
Tai nghe Có Dây OPPO MH320,180.000₫,,,316,https://www.thegioididong.com/tai-nghe/co-day-ep-oppo-mh320,5,,Headphone
Tai nghe Bluetooth TWS Xiaomi Redmi Buds 4 Lite,690.000₫,790.000₫,-12%,111,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-tws-xiaomi-redmi-buds-4-lite,6,,Headphone
Tai nghe Bluetooth True Wireless Earphones 2 Basic Xiaomi BHR4089GL,1.590.000₫,,,32,https://www.thegioididong.com/tai-nghe/tai-nghe-true-wireless-earphones-2-basic-xiaomi,6,,Headphone
Tai nghe Bluetooth True Wireless Beats Powerbeats Pro,4.790.000₫,5.990.000₫,-20%,12,https://www.thegioididong.com/tai-nghe/khong-day-powerbeats-pro,7,,Headphone
Tai nghe Bluetooth Beats High-Performance,3.190.000₫,3.990.000₫,-20%,,https://www.thegioididong.com/tai-nghe/bluetooth-high-performance-beats-mwnv2-mwnw2-mwnx2,7,,Headphone
Tai nghe Bluetooth Chụp Tai Beats Solo3 Wireless,4.390.000₫,5.490.000₫,-20%,,https://www.thegioididong.com/tai-nghe/tai-nghe-chup-tai-beats-solo3-mx432-mv8t2-mx472,7,,Headphone
Tai nghe Bluetooth True Wireless Mozard TS13,225.000₫,450.000₫,-50%,769,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-mozard-ts13,8,,Headphone
Tai nghe Bluetooth True Wireless Mozard Air 3,445.000₫,890.000₫,-50%,200,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-mozard-air-3-den,8,,Headphone
Tai nghe Bluetooth Chụp Tai Mozard K8,500.000₫,,,151,https://www.thegioididong.com/tai-nghe/bluetooth-mozard-k8,8,,Headphone
Tai nghe Có Dây Mozard DS510-WB,105.000₫,150.000₫,-30%,261,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-mozard-ds510-wb-xanh,8,,Headphone
Tai nghe Bluetooth 1 Bên Mozard Q6C,90.000₫,300.000₫,-70%,85,https://www.thegioididong.com/tai-nghe/bluetooth-mozard-q6c-xanh-navy,8,,Headphone
Tai nghe Bluetooth True Wireless Mozard Q7,140.000₫,350.000₫,-60%,29,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-mozard-q7-hong,8,,Headphone
Tai nghe Có Dây Mozard DS510-WB,150.000₫,,,55,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-mozard-ds510-wb-xanh-nanvy,8,,Headphone
Tai nghe Bluetooth True Wireless Mozard Air 6,380.000₫,950.000₫,-60%,199,https://www.thegioididong.com/tai-nghe/mozard-air-6,8,,Headphone
Tai nghe Chụp Tai Mozard IP-360,105.000₫,180.000₫,-40%,141,https://www.thegioididong.com/tai-nghe/chup-tai-mozard-ip-360,8,,Headphone
Tai nghe Bluetooth 1 Bên Mozard LE003,240.000₫,300.000₫,-20%,86,https://www.thegioididong.com/tai-nghe/bluetooth-mozard-le003-den,8,,Headphone
Tai nghe Bluetooth True Wireless Mozard TS11 mini,275.000₫,790.000₫,-65%,95,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-mozard-ts11-mini,8,,Headphone
Tai nghe Bluetooth True Wireless Mozard Q8,275.000₫,790.000₫,-65%,152,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-mozard-q8,8,,Headphone
Tai nghe Bluetooth 1 Bên Mozard R559X,300.000₫,,,54,https://www.thegioididong.com/tai-nghe/bluetooth-mozard-r559x-den,8,,Headphone
Tai nghe Chụp Tai Mozard IP-840,140.000₫,350.000₫,-60%,172,https://www.thegioididong.com/tai-nghe/tai-nghe-chup-tai-mozard-ip-840,8,,Headphone
Tai nghe Bluetooth True Wireless Mozard T302A,355.000₫,890.000₫,-60%,74,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-mozard-t302a-den,8,,Headphone
Tai nghe Có Dây Mozard S80,75.000₫,,,57,https://www.thegioididong.com/tai-nghe/tai-nghe-nhet-tai-ep-mozard-s80-den,8,,Headphone
Tai nghe Bluetooth Mozard S205A,350.000₫,,,84,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-mozard-s205a-xanh,8,,Headphone
Tai nghe Chụp Tai Mozard IP-878,140.000₫,350.000₫,-60%,184,https://www.thegioididong.com/tai-nghe/tai-nghe-chup-tai-mozard-ip-878-den-reu,8,,Headphone
Tai nghe Bluetooth Mozard Q6,175.000₫,350.000₫,-50%,147,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-mozard-q6-do,8,,Headphone
Tai nghe Có Dây Mozard DS509-WB,150.000₫,,,76,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-mozard-ds509-wb-xam,8,,Headphone
Tai nghe Bluetooth True Wireless Mozard AT5,890.000₫,,,59,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-tws-mozard-at5-den,8,,Headphone
Tai nghe Có Dây Awei Q50Hi,150.000₫,,,117,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-awei-q50hi-bac,9,,Headphone
Tai nghe Có Dây Awei Q29Hi,150.000₫,,,336,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-awei-q29hi-den-hong,9,,Headphone
Tai nghe Có Dây Awei Q27Hi,150.000₫,,,201,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-awei-q27hi-den,9,,Headphone
Tai nghe Có Dây Awei Q26Hi,75.000₫,,,71,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-awei-q26hi-den,9,,Headphone
Tai nghe Bluetooth Awei G51BS,175.000₫,350.000₫,-50%,48,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-awei-g51bs-den,9,,Headphone
Tai nghe Bluetooth Awei A920BS,175.000₫,350.000₫,-50%,89,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-awei-a920bs,9,,Headphone
Tai nghe Bluetooth Awei A930BS,140.000₫,350.000₫,-60%,29,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-awei-a930bs,9,,Headphone
Tai nghe Bluetooth Awei A840BL,175.000₫,350.000₫,-50%,138,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-nfc-awei-a840bl,9,,Headphone
Tai nghe Có Dây Awei ES500Ni,150.000₫,,,133,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-awei-es500ni,9,,Headphone
Tai nghe Bluetooth True Wireless AVA+ DS200A-WB,175.000₫,350.000₫,-50%,284,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-ava-ds200a-wb,10,,Headphone
Tai nghe Bluetooth True Wireless AVA+ DS201A-WB,175.000₫,350.000₫,-50%,274,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-ava-ds201a-wb,10,,Headphone
Tai nghe Bluetooth True Wireless AVA+ DS206,395.000₫,790.000₫,-50%,107,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-ava-ds206,10,,Headphone
Tai nghe Có Dây Type C AVA+ DS815-WB,160.000₫,200.000₫,-20%,76,https://www.thegioididong.com/tai-nghe/tai-nghe-co-day-type-c-ava-ds815-wb-trang,10,,Headphone
Tai nghe Chụp Tai Trẻ em AVA+ KD-662,125.000₫,250.000₫,-50%,42,https://www.thegioididong.com/tai-nghe/chup-tai-ava-kd-662,10,,Headphone
Tai nghe Bluetooth True Wireless Rezo Air,620.000₫,890.000₫,-30%,123,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-tws-rezo-air,11,,Headphone
Tai nghe Bluetooth True Wireless Rezo HT03 ANC,830.000₫,1.390.000₫,-40%,64,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-rezo-ht03,11,,Headphone
Tai nghe Bluetooth True Wireless Rezo F15,790.000₫,,,248,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-rezo-f15,11,,Headphone
Tai nghe Bluetooth True Wireless Rezo QT13,665.000₫,950.000₫,-30%,127,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-rezo-qt13,11,,Headphone
Tai nghe Bluetooth True Wireless Rezo T206,625.000₫,1.250.000₫,-50%,106,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-rezo-t206-xam-den,11,,Headphone
Tai nghe Bluetooth Chụp Tai Kanen K6,600.000₫,,,161,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-kanen-k6-xam-gold,12,,Headphone
Tai nghe Bluetooth Chụp Tai Kanen K9,250.000₫,500.000₫,-50%,76,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-kanen-k9,12,,Headphone
Tai nghe Bluetooth Chụp Tai Kanen K6,600.000₫,,,173,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-kanen-k6,12,,Headphone
Tai nghe Chụp Tai Kanen IP-2090,210.000₫,350.000₫,-40%,133,https://www.thegioididong.com/tai-nghe/tai-nghe-chup-tai-kanen-ip-2090,12,,Headphone
Tai nghe Chụp Tai Kanen IP-952,210.000₫,350.000₫,-40%,111,https://www.thegioididong.com/tai-nghe/tai-nghe-chup-tai-kanen-ip-952,12,,Headphone
Tai nghe Bluetooth 1 Bên Roman R553X,90.000₫,300.000₫,-70%,67,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-roman-r553x-den,13,,Headphone
Tai nghe Bluetooth 1 Bên Roman Q5C,90.000₫,300.000₫,-70%,64,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-roman-q5c-den,13,,Headphone
Tai nghe Bluetooth Roman S205,350.000₫,,,33,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-roman-s205-xanh,13,,Headphone
Tai nghe Bluetooth 1 Bên Roman R553N,300.000₫,,,67,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-roman-r553n-den,13,,Headphone
Tai nghe Chụp Tai Gaming MozardX G1,590.000₫,,,32,https://www.thegioididong.com/tai-nghe/tai-nghe-chup-tai-gaming-mozardx-g1-den,14,,Headphone
Tai nghe Bluetooth True Wireless Rapoo I300,890.000₫,,,8,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-rapoo-i300-trang,15,,Headphone
Tai nghe Bluetooth True Wireless Rapoo I100,420.000₫,700.000₫,-40%,9,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-rapoo-i100-den,15,,Headphone
Tai nghe Chụp Tai Gaming Rapoo VH500 7.1,800.000₫,,,15,https://www.thegioididong.com/tai-nghe/tai-nghe-gaming-rapoo-vh500-71-den,15,,Headphone
Tai nghe Bluetooth True Wireless Belkin Soundform Move PAC001,1.300.000₫,,,12,https://www.thegioididong.com/tai-nghe/belkin-soundform-move-pac001-den,16,,Headphone
Tai nghe Bluetooth True Wireless Belkin Soundform AUC001,1.790.000₫,,,69,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-tws-belkin-soundform-auc001,16,,Headphone
Tai nghe Bluetooth True Wireless Jabra Elite 2,1.480.000₫,1.850.000₫,-20%,14,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-jabra-elite-2-den,17,,Headphone
Tai nghe Bluetooth True Wireless Jabra Elite 85T,3.590.000₫,5.990.000₫,-40%,7,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-jabra-elite-85t-d,17,,Headphone
Tai Nghe Bluetooth True Wireless Anker SoundCore Liberty 2 Pro A3909,3.500.000₫,,,16,https://www.thegioididong.com/tai-nghe/tai-nghe-true-wireless-anker-liberty-2-pro-a3909,18,,Headphone
Tai nghe Chụp Tai Gaming Logitech G331,1.190.000₫,1.490.000₫,-20%,9,https://www.thegioididong.com/tai-nghe/tai-nghe-chup-tai-gaming-logitech-g331-den-do,19,,Headphone
Tai nghe Chụp Tai Gaming Logitech G431 7.1,1.435.000₫,1.690.000₫,-15%,13,https://www.thegioididong.com/tai-nghe/tai-nghe-chup-tai-gaming-logitech-g431-71-den-xanh,19,,Headphone
